"[1, 1, 1, 1, 1, 1]","(-6220418855731200, -2073472951910400, -6220418855731200, 2073472951910400, -2073472951910400, -6220418855731200)"
"[1, 1, 1, 0, 0, 0]","(161104073620193280, 0, 161104073620193280, 0, 0, 161104073620193280)"
"[1, 1, 2, 0, 0, 0]","(38100793902854307840, 0, -8754015879907246080, 0, 0, -8754015879907246080)"
"[1, 1, 3, 1, 1, 1]","(1443137174529638400, 481045724843212800, 94349968142279639040, -481045724843212800, 46934461208718213120, 94349968142279639040)"
"[1, 1, 4, 0, 0, 0]","(-616064642958848163840, 0, -3750086772310860103680, 0, 0, -3750086772310860103680)"
"[1, 2, 2, 0, 0, 0]","(1026126101543890452480, 0, 1026126101543890452480, 0, 0, -7389313951206809272320)"
"[2, 2, 2, 2, 2, 2]","(3678337537919554682880, 1226112512639851560960, 3678337537919554682880, -1226112512639851560960, 1226112512639851560960, 3678337537919554682880)"
"[1, 3, 3, 2, 0, 0]","(-272330638676977180999680, -3628369765347077652480, -272330638676977180999680, 0, 0, -544997989722694562611200)"
"[2, 2, 2, 0, 0, 0]","(-115754327374819649126400, 0, -115754327374819649126400, 0, 0, -115754327374819649126400)"
"[1, 4, 4, 0, 0, 0]","(15935323600507240238284800, 0, 15935323600507240238284800, 0, 0, 139524473191309206198681600)"
"[2, 2, 4, 0, 0, 0]","(-27398966407676535955783680, 0, -13250978970123564440616960, 0, 0, -13250978970123564440616960)"
"[3, 3, 3, -2, 2, 2]","(9073611164392486065930240, -4536805582196243032965120, 9073611164392486065930240, -4536805582196243032965120, 4536805582196243032965120, 9073611164392486065930240)"
