"[1, 1, 1, 1, 1, 1]","(-50266795106304000, -16755598368768000, -50266795106304000, 16755598368768000, -16755598368768000, -50266795106304000)"
"[1, 1, 1, 0, 0, 0]","(1206765184981401600, 0, 1206765184981401600, 0, 0, 1206765184981401600)"
"[1, 1, 2, 0, 0, 0]","(297618534091771084800, 0, -58757241590356377600, 0, 0, -58757241590356377600)"
"[1, 1, 3, 1, 1, 1]","(11661896464662528000, 3887298821554176000, 752164406639709388800, -3887298821554176000, 374138553909077606400, 752164406639709388800)"
"[1, 1, 4, 0, 0, 0]","(-5460756574266772684800, 0, -32391215209271368089600, 0, 0, -32391215209271368089600)"
"[1, 2, 2, 0, 0, 0]","(7862557740478601625600, 0, 7862557740478601625600, 0, 0, -57606527169541334630400)"
"[2, 2, 2, 2, 2, 2]","(30514165477637986713600, 10171388492545995571200, 30514165477637986713600, -10171388492545995571200, 10171388492545995571200, 30514165477637986713600)"
"[1, 3, 3, 2, 0, 0]","(-2200973557108382996889600, 45989816906478413414400, -2200973557108382996889600, 0, 0, -4413131757769294086144000)"
"[2, 2, 2, 0, 0, 0]","(-782015778237016178688000, 0, -782015778237016178688000, 0, 0, -782015778237016178688000)"
"[1, 4, 4, 0, 0, 0]","(116589938893692082323456000, 0, 116589938893692082323456000, 0, 0, 1108609995719264333463552000)"
"[2, 2, 4, 0, 0, 0]","(-203339340542578649569689600, 0, -114419214155749629571891200, 0, 0, -114419214155749629571891200)"
"[3, 3, 3, -2, 2, 2]","(84161577780365946047692800, -42080788890182973023846400, 84161577780365946047692800, -42080788890182973023846400, 42080788890182973023846400, 84161577780365946047692800)"
